year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
2013,6,984822,426,0,2,10.81,1.99,1,1,0,1,6,1,4.0,17,1.81,12.05,0.44,2.92,2,0,0.0,0.0,2,14,1.36,9.05,2,0,0.0,0.0,2,7,0.18,0.06,2,1,0.06,2,2,0.12,2,0,0.0,2,5,0.0,0,0.0,0,0.0,0.0,1276,1,4.0,32.22,0.0,21.0,0.0,19,1,8,0,0.0
2013,6,999069,44,0,1,2.94,12.24,1,1,0,1,8,1,5.0,109,10.86,72.43,0.88,5.88,1,0,0.0,0.0,1,62,10.5,69.97,1,0,0.0,0.0,1,24,1.38,0.06,1,0,0.0,1,23,1.38,1,0,0.0,1,7,0.0,0,0.0,0,0.0,0.0,1276,4,20.0,100.9,0.0,94.72,0.0,39,0,37,0,0.0
2013,6,1099183,31,0,1,35.73,52.65,1,1,0,1,2,3,60.03,401,41.76,276.43,3.86,24.23,1,0,0.0,0.0,1,174,36.91,246.03,1,0,0.0,0.0,1,182,10.89,0.15,1,19,1.02,1,162,9.72,1,0,0.0,1,8,0.0,0,0.0,0,0.0,0.0,1276,9,90.03,288.75,0.0,254.03,0.0,189,19,168,0,0.0
2013,6,1103095,46,0,35,14.04,0.0,0,0,0,0,45,0,0.0,0,0.0,0.0,0.0,0.0,35,0,0.0,0.0,35,0,0.0,0.0,35,0,0.0,0.0,35,0,0.0,0.0,38,0,0.0,38,0,0.0,38,0,0.0,38,0,0.0,0,0.0,0,0.0,0.0,1276,3,15.0,5.07,0.0,4.0,0.0,6,0,6,0,0.0
2013,6,1105290,74,0,12,11.56,1.25,1,1,0,0,74,0,0.0,5,1.25,8.47,0.95,6.32,12,0,0.0,0.0,12,1,0.15,1.0,12,0,0.0,0.0,12,3,0.0,0.0,12,0,0.0,12,0,0.0,12,0,0.0,12,8,0.0,0,0.0,0,0.0,0.0,1276,3,15.0,22.22,0.0,3.0,0.0,9,0,5,0,0.0
2013,6,1123349,195,0,1,0.14,176.53,1,1,0,1,1,18,173.0,376,155.9,647.52,6.36,22.08,1,0,0.0,0.0,1,226,33.38,222.53,1,0,0.0,0.0,1,423,20.63,0.11,1,0,0.0,1,353,20.52,1,0,0.0,1,106,0.0,0,0.0,0,0.0,0.0,1276,65,372.0,1421.07,0.0,528.33,0.0,831,2,640,0,0.0
2013,6,1147854,15885,0,37,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,37,0,0.0,0.0,37,0,0.0,0.0,37,0,0.0,0.0,37,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,42688,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,44557,1025,0,1,5.41,2.65,1,1,0,1,16,1,1.5,11,1.21,9.03,0.38,2.52,2,0,0.0,0.0,2,7,1.21,8.05,2,0,0.0,0.0,2,24,1.44,0.06,1,7,0.42,1,17,1.02,1,0,0.0,1,4,0.0,0,0.0,0,0.0,0.0,1276,3,13.505,22.13,0.0,15.48,0.0,86,9,38,0,0.0
2013,6,104366,1983,0,1,11.67,5.18,1,1,0,1,27,1,12.0,19,4.89,32.6,0.61,4.07,1,0,0.0,0.0,1,18,4.74,31.6,1,0,0.0,0.0,1,7,0.29,0.11,11,0,0.0,11,3,0.18,11,0,0.0,11,12,0.0,0,0.0,0,0.0,0.0,1276,1,12.0,133.07,0.0,128.67,0.0,19,0,15,0,0.0
