summary,count,mean,stddev,min,max
year,13882,2013.0,0.0,2013,2013
month,13882,7.050208903616194,0.8240497687258012,6,8
user_account_id,13882,545250.6587667483,410933.3938786455,35,1196935
user_lifetime,13882,2810.7237429765164,4948.679723342212,0,15947
user_intake,13882,0.027229505834894106,0.16275739021949812,0,1
user_no_outgoing_activity_in_days,13882,43.20155597176199,217.54087462725786,0,1307
user_account_balance_last,13882,10.88892450655523,15.833145958137843,0.0,293.78
user_spendings,13882,7.3396542284973085,15.39654980905276,-0.3,442.45
user_has_outgoing_calls,13882,0.8825097248235124,0.3220151860899663,0,1
user_has_outgoing_sms,13882,0.6615761417663161,0.47319053232316505,0,1
user_use_gprs,13882,0.05251404696729578,0.22306928593953873,0,1
user_does_reload,13882,0.4966863564327907,0.500007029155685,0,1
reloads_inactive_days,13882,389.9317101282236,577.2558526132159,0,1338
reloads_count,13882,0.8875522259040484,1.476845495988464,0,24
reloads_sum,13882,7.813273303558491,16.354463189295007,-53.34,432.35
calls_outgoing_count,13882,36.81313931710128,62.792106115365605,0,1632
calls_outgoing_spendings,13882,5.0312447774096185,11.727024056129627,0.0,394.94
calls_outgoing_duration,13882,34.19376026509165,73.60473465633359,0.0,2641.33
calls_outgoing_spendings_max,13882,0.9321488258175895,1.6888651002206954,0.0,24.83
calls_outgoing_duration_max,13882,5.129098112663875,7.476585387856554,0.0,60.0
calls_outgoing_inactive_days,13882,102.75435816164818,341.5951605074451,0,1338
calls_outgoing_to_onnet_count,13882,0.5338567929693128,3.3150560141373218,0,119
calls_outgoing_to_onnet_spendings,13882,0.259285405561159,2.6499460124095875,0.0,187.16
calls_outgoing_to_onnet_duration,13882,0.8006576862123614,8.701419476578439,0.0,649.5
calls_outgoing_to_onnet_inactive_days,13882,102.75435816164818,341.5951605074451,0,1338
calls_outgoing_to_offnet_count,13882,16.026148969889064,33.92280687749688,0,851
calls_outgoing_to_offnet_spendings,13882,2.900015127503282,6.287899461744549,0.0,174.69
calls_outgoing_to_offnet_duration,13882,21.18189742112082,49.3699796399522,0.0,1541.38
calls_outgoing_to_offnet_inactive_days,13882,102.75435816164818,341.5951605074451,0,1338
calls_outgoing_to_abroad_count,13882,2.213730010085002,11.149309421370068,0,540
calls_outgoing_to_abroad_spendings,13882,0.45728929549056346,3.8004744043556173,0.0,249.83
calls_outgoing_to_abroad_duration,13882,2.129290448062239,18.942902005274995,0.0,1325.98
calls_outgoing_to_abroad_inactive_days,13882,102.75435816164818,341.5951605074451,0,1338
sms_outgoing_count,13882,37.79376170580608,99.15506108772325,0,3715
sms_outgoing_spendings,13882,2.022986601354296,7.00886976504017,0.0,422.24
sms_outgoing_spendings_max,13882,0.08659126926954705,0.2532717543990795,0.0,4.0
sms_outgoing_inactive_days,13882,327.7078951159775,558.0283188840099,0,1338
sms_outgoing_to_onnet_count,13882,2.6576141766316095,11.956431124728098,0,364
sms_outgoing_to_onnet_spendings,13882,0.12364356720933324,0.6239213072108609,0.0,20.52
sms_outgoing_to_onnet_inactive_days,13882,327.7078951159775,558.0283188840099,0,1338
sms_outgoing_to_offnet_count,13882,22.753493732891513,76.51090151248036,0,3714
sms_outgoing_to_offnet_spendings,13882,1.3169370407722296,4.118829978189823,0.0,158.28
sms_outgoing_to_offnet_inactive_days,13882,327.7078951159775,558.0283188840099,0,1338
sms_outgoing_to_abroad_count,13882,1.8033424578590982,10.435537765167414,0,401
sms_outgoing_to_abroad_spendings,13882,0.18792537098400755,1.08825971977507,0.0,36.09
sms_outgoing_to_abroad_inactive_days,13882,327.7078951159775,558.0283188840099,0,1338
sms_incoming_count,13882,9.781659703212794,15.702816043931826,0,506
sms_incoming_spendings,13882,0.16456778562166843,1.76802961298504,-3.2,98.0
sms_incoming_from_abroad_count,13882,1.3660135427171878,3.6531335469918402,0,109
sms_incoming_from_abroad_spendings,13882,0.013325169283964813,0.17255357424121903,-1.35,10.0
gprs_session_count,13882,14.220933583057196,196.83557100795156,0,11354
gprs_usage,13882,5.007022042933291,90.8097661469861,0.0,5817.62
gprs_spendings,13882,0.28542501080536004,4.634019229836421,-7.9,351.45
gprs_inactive_days,13882,1195.604667915286,363.50632965304135,0,1338
last_100_reloads_count,13882,3.799884742832445,6.629436855772918,0,162
last_100_reloads_sum,13882,23.679423022620085,42.52764582315696,-18.0,1188.63
last_100_calls_outgoing_duration,13882,106.29328699034747,206.5193266878591,0.0,5361.35
last_100_calls_outgoing_to_onnet_duration,13882,1.7878504538250963,16.44734497748527,0.0,1323.75
last_100_calls_outgoing_to_offnet_duration,13882,67.96550425010835,139.9836672138763,0.0,3748.92
last_100_calls_outgoing_to_abroad_duration,13882,4.837744561302405,38.56273052420531,0.0,3033.5
last_100_sms_outgoing_count,13882,111.84944532488115,260.7185304172428,0,7254
last_100_sms_outgoing_to_onnet_count,13882,7.975291744705374,33.960539491691,0,1134
last_100_sms_outgoing_to_offnet_count,13882,67.2147385103011,192.57350150168904,0,7230
last_100_sms_outgoing_to_abroad_count,13882,4.311914709696009,20.52971758292836,0,826
last_100_gprs_usage,13882,10.84192263362628,131.08088985648962,0.0,6434.76
