,month,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
month,1.0,0.10305354720994954,0.0381480268921897,-0.13468672262862097,-0.030070803168248655,-0.03409630963922224,0.024675672806902468,-0.038265623842266734,0.006426421528627401,0.04210401461582385,-0.03146430517342453,-0.007909970957360197,-0.050666290965516454,-0.035720911597427504,-0.036551183275683574,-0.038770233943245795,-0.023022081359378298,-0.039661773074831506,0.04757717517653788,0.018193749908707226,0.00858340232596739,0.013334071381242818,0.04757717517653788,-0.0478370154386789,-0.04628239414239261,-0.04327875546889352,0.04757717517653788,0.03455603144153928,0.010491738458376872,0.014049849395922923,0.04757717517653788,-0.01244248820414171,-0.01485921667304474,-0.009559309689642897,0.07243704292002899,-0.012988365729058635,-0.02490883407512742,0.07243704292002899,-0.01024495810081028,-0.010292636103673536,0.07243704292002899,0.02838333243237686,0.016994097314288262,0.07243704292002899,-0.09826264794093491,0.006458032712906619,0.02902559659746528,0.041328044421928625,0.025764259689537446,0.027004247700712816,0.0016869284072030593,0.06884810808278788,-0.001101381844527619,-0.03255003098596915,-0.040853496648068414,0.02480508111444398,-0.05125179004360681,0.025282058060081495,-0.0179997687040826,-0.01323108969430693,-0.013411552699131425,0.03084161107387221,0.019985474894439578
user_lifetime,0.10305354720994954,1.0,0.22401971675793042,0.33233451311225093,-0.20167427892246684,-0.15798921389710974,-0.5359753257824491,-0.4218074400084078,-0.07100713852418626,-0.02342309435898904,0.125740661273911,-0.0904191493346115,-0.12622953921958344,-0.1902527605671471,-0.14063630343860636,-0.1521719974108282,-0.17358656169175665,-0.2168154372197532,0.6176188362711592,-0.053457374567434046,-0.03166794661373187,-0.029380961380514634,0.6176188362711592,-0.15500174700306288,-0.15105895229080318,-0.1424058861902046,0.6176188362711592,-0.06834043422196415,-0.04002026517885834,-0.03667391946099685,0.6176188362711592,-0.12746396403783578,-0.09682130967512682,-0.10619781610490742,0.5583850005127096,-0.07839701133756564,-0.07248295912228142,0.5583850005127096,-0.10006123353773899,-0.10688873494258257,0.5583850005127096,-0.05944720273558653,-0.059320153477821755,0.5583850005127096,-0.18270083807883358,-0.02872658373046646,-0.13085399325308017,-0.030596190336411935,-0.026482325185756213,-0.020589152710501605,-0.022580140287420135,0.1125870739500644,-0.16420900279050898,-0.18771908299206533,-0.1822861752730027,-0.03581290033325691,-0.17316851442235226,-0.04160180697788699,-0.15444140772200612,-0.08807065892167665,-0.12891137352974424,-0.07265329343624082,-0.03329393675413433
user_intake,0.0381480268921897,0.22401971675793042,1.0,-0.027702649393413305,-0.0005237082205624552,0.006210270103535893,0.05279848394226387,0.05886000729649369,0.03006093638515157,0.16133776984431786,-0.10311044231248388,0.06848566300427365,0.10768296299377023,0.005397023562310257,0.002462791966457752,-0.0062739116144166565,0.01560137909403706,0.005825515478942664,-0.032582244971563305,-0.005714388849109364,-0.0006096498639494948,-0.0009170870391437113,-0.032582244971563305,-0.007083600160940292,-0.01585303260241155,-0.017362694669324552,-0.032582244971563305,-0.005787861478474657,-0.0013469753107606757,-0.0035821126535839935,-0.032582244971563305,0.004410239323443254,0.008362089581781758,0.00347518086421531,-0.022708171342618447,-0.0008358444912967335,-0.003531016706248002,-0.022708171342618447,0.017593702531262103,0.019448672557650534,-0.022708171342618447,-0.01572184306580914,-0.013558658683914888,-0.022708171342618447,0.05670065393208219,-0.0022297802360930563,-0.0360284416553954,-0.01292049355118165,-0.0016809454984204118,-0.0029849505010194717,0.0017536297368550085,0.00422094485235174,-0.017516753044745776,-0.02164121321849463,-0.06132166507431638,-0.010762498517016824,-0.06274849378662549,-0.013719078495781951,-0.046368342214078796,-0.026727458690962304,-0.032186103118992844,-0.02860849279739375,-0.009644836536142653
user_no_outgoing_activity_in_days,-0.13468672262862097,0.33233451311225093,-0.027702649393413305,1.0,-0.09930052733394326,-0.0920253638497081,-0.5017123555594469,-0.2627025614682081,-0.04457835674913025,-0.18661468232897988,0.28443499563266145,-0.11458235104233751,-0.09144562981322961,-0.11283474687308935,-0.08279812508282515,-0.08969239121336793,-0.10525847661840716,-0.13075707077833276,0.6138158185322634,-0.03105290195673963,-0.018927278735934003,-0.01781920272873224,0.6138158185322634,-0.09111535127007336,-0.08903723049143461,-0.08288108989262524,0.6138158185322634,-0.03817924683682326,-0.023195601446651087,-0.021703008271123966,0.6138158185322634,-0.0737320829598666,-0.05574988091655864,-0.06486822019217714,0.3184599061172513,-0.04292549076430302,-0.038187891750650065,0.3184599061172513,-0.05741982107494611,-0.061811888952357695,0.3184599061172513,-0.03342788657594722,-0.03331914302401112,0.3184599061172513,-0.11665183801161566,-0.017941326673009465,-0.06959209350773012,-0.014694222826189679,-0.014054688123975886,-0.010742562787269726,-0.011902034784028194,0.048448434266790075,-0.10895662885349,-0.10616607060190453,-0.09852174187946859,-0.02080542983877874,-0.09303898333560749,-0.023992955916563218,-0.08240477927363929,-0.045088777289244646,-0.06690940390439962,-0.04027694334548101,-0.0158665591364099
user_account_balance_last,-0.030070803168248655,-0.20167427892246684,-0.0005237082205624552,-0.09930052733394326,1.0,0.10945811649909228,0.16096211790474466,0.17858592344829616,0.04029429662328933,0.0928783031297922,-0.09755302421156388,0.02973474270562836,0.24468743634608975,0.016083845591471503,0.1260225958861486,0.11157614969334868,0.1338497087863863,0.16044802563918834,-0.16646331958922694,0.12871968213951057,0.13172527698042708,0.12998951974195844,-0.16646331958922694,-0.026246440770931204,0.032658678943608487,0.0300036646042262,-0.16646331958922694,0.0968986911457151,0.13854403440345706,0.13939579792076714,-0.16646331958922694,0.015735942924360268,0.02677826408949438,0.05015033362508496,-0.19714777676633333,0.021846961203609627,-0.02274707142484196,-0.19714777676633333,0.00536438092233211,0.012464909273865465,-0.19714777676633333,0.10614893762387581,0.10875662976695205,-0.19714777676633333,0.025368527055440366,0.0019986668223589644,0.08387869689957259,0.005260195636782925,0.03199223233589374,0.028016835505284138,0.00425572559282187,-0.024969625028520584,0.0897615714920183,0.23082061142228447,0.14161761703680067,0.1653884675070986,0.07003980375333498,0.16242958816188818,0.01261033598875664,0.01580178150000671,0.004345526215767762,0.11766146520081039,0.028932416291029765
user_spendings,-0.03409630963922224,-0.15798921389710974,0.006210270103535893,-0.0920253638497081,0.10945811649909228,1.0,0.16651034108872725,0.2748890779225291,0.2124736175967007,0.3387021206345252,-0.2676868858725682,0.6671927830755822,0.8480725898313216,0.5827790376668335,0.833929986939721,0.7601341503688109,0.5208066427404404,0.5025937731409494,-0.13988927272527257,0.2566289197117398,0.2698646475268088,0.2640631779904,-0.13988927272527257,0.4733883577461358,0.5681835392124001,0.5064296208082089,-0.13988927272527257,0.24624782133662743,0.30235211856386246,0.2856913208650726,-0.13988927272527257,0.45763364736901746,0.5774696460235189,0.22919244852628506,-0.23436879374339223,0.12258434197867929,0.09479646868126143,-0.23436879374339223,0.3601003944673092,0.39651242723967145,-0.23436879374339223,0.23664059683534425,0.23155617337858334,-0.23436879374339223,0.42900132286719544,0.12746179382796266,0.09958280468875186,0.019420074272726975,0.11887167290929004,0.09243047865574007,0.3387182855485119,-0.19489423798211208,0.6914853064361804,0.8314077555132745,0.6862694862716134,0.23964428644764987,0.45805950685674685,0.25838320073021187,0.44114379505744095,0.11544573194873683,0.34608134116957295,0.23529946876469188,0.1253409921033074
user_has_outgoing_calls,0.024675672806902468,-0.5359753257824491,0.05279848394226387,-0.5017123555594469,0.16096211790474466,0.16651034108872725,1.0,0.41417717881773075,0.07587075485188159,0.1280081819860207,-0.19541754672053704,0.13733537989791145,0.16406356007470604,0.2139216097091118,0.15654690446832636,0.16951103070454404,0.20139428813751892,0.2503194307395297,-0.7839862096134699,0.058761213458426276,0.03570244013893368,0.03357481475129244,-0.7839862096134699,0.1723829263456063,0.16828737172643474,0.15655205251442786,-0.7839862096134699,0.07244919055994668,0.04390460525825438,0.04101523901991103,-0.7839862096134699,0.1216947313962228,0.08983275705531837,0.1069345621312168,-0.4705535939138909,0.06851229500570269,0.06394102655068991,-0.4705535939138909,0.08976418051276923,0.09551628104700499,-0.4705535939138909,0.05733110525494014,0.0566721563393226,-0.4705535939138909,0.20420154593048176,0.03315744402471023,0.11372129171653021,0.025882866825611625,0.02553020819243929,0.01944267082183693,0.02119761151593114,-0.08760326172425231,0.1694946074031734,0.18180563677108041,0.1799794131638372,0.03783956381235538,0.17023574715946124,0.04231094496380836,0.13266653828513716,0.07217195610178431,0.10323304254665641,0.06566437180111413,0.02760189806669312
user_has_outgoing_sms,-0.038265623842266734,-0.4218074400084078,0.05886000729649369,-0.2627025614682081,0.17858592344829616,0.2748890779225291,0.41417717881773075,1.0,0.13357298819818703,0.35120385527486175,-0.40369304593122596,0.28037054660589256,0.2766995356860287,0.2755063714979474,0.22231001550419469,0.23305608668571406,0.2531747413693003,0.30342517622870985,-0.3754302294825985,0.08381645484604053,0.05248613543894342,0.04955887620111826,-0.3754302294825985,0.23651165097667548,0.23850923040143668,0.21329971088092098,-0.3754302294825985,0.10502287222872987,0.06675373204941831,0.062339674234854064,-0.3754302294825985,0.27262234281873465,0.20644350681769105,0.24453642489305522,-0.8040933805976099,0.1589814951369726,0.14174179250380073,-0.8040933805976099,0.21270660857248624,0.228690097476449,-0.8040933805976099,0.12360031721767528,0.1235119769459645,-0.8040933805976099,0.3000554878363826,0.0637041422520173,0.18810231473787695,0.0434638459118492,0.04869797017056288,0.03775276296416724,0.03849236789773697,-0.14419147097160534,0.28896541983260704,0.28862475979517693,0.23452242885689742,0.050052476239955006,0.220807657328687,0.062449074002196715,0.2856109846682097,0.16074204754331012,0.22966065116617795,0.1422978795160225,0.04418165273956756
user_use_gprs,0.006426421528627401,-0.07100713852418626,0.03006093638515157,-0.04457835674913025,0.04029429662328933,0.2124736175967007,0.07587075485188159,0.13357298819818703,1.0,0.13170853188405027,-0.1009904085656927,0.19286809855473477,0.17278575715610234,0.12163295743337867,0.09041050708937845,0.09819182681558948,0.06997560855603653,0.08668329052804812,-0.06527595656607742,0.005437834241372657,0.00510775240956297,0.006488091922764385,-0.06527595656607742,0.09124134048755364,0.07662138633947037,0.06755012702409544,-0.06527595656607742,0.015183815344564781,0.0033086752698632143,0.0032431401457730766,-0.06527595656607742,0.1435002931962437,0.14248964962231822,0.11702453823792204,-0.11370211545821947,0.07991421676849686,0.064450646290403,-0.11370211545821947,0.08866523544021088,0.0948319242326387,-0.11370211545821947,0.012823482052467505,0.01207295350670162,-0.11370211545821947,0.22253381481577283,0.07469811044099917,0.01849209168694689,0.012812955947535667,0.3068942930967855,0.23421255930421872,0.2616365918968985,-0.7565569478242828,0.18754715345907857,0.1824885597057283,0.10175070830658381,0.009072167095852488,0.07888281170440092,0.004003331814888111,0.14380333016007907,0.08035672528939285,0.0826921610795975,0.0228825441803298,0.2999471881122129
user_does_reload,0.04210401461582385,-0.02342309435898904,0.16133776984431786,-0.18661468232897988,0.0928783031297922,0.3387021206345252,0.1280081819860207,0.35120385527486175,0.13170853188405027,1.0,-0.6416340387636986,0.6049963213488944,0.4809396706023638,0.34963114069730183,0.3071576676244065,0.3241222445672483,0.30320719998338835,0.3385924331246349,-0.016599486322558293,0.08731816747346229,0.06252305731618624,0.05768950570052115,-0.016599486322558293,0.30566306391405096,0.3193157057382835,0.2991030073346921,-0.016599486322558293,0.10762500268644518,0.07763151868181396,0.07060694541376233,-0.016599486322558293,0.26751562042283583,0.19438961180190056,0.1515044451083435,-0.2555900228772407,0.12367027597211006,0.11192247634572386,-0.2555900228772407,0.19659414713488893,0.20873752404550716,-0.2555900228772407,0.09752953402501656,0.09930986488187078,-0.2555900228772407,0.29227777359522866,0.07297953166385475,0.0892266962892575,0.032116029983293826,0.06383138668812437,0.05031378556040948,0.05402393970206681,-0.1217606553384756,0.4097776859051773,0.36865640520993775,0.3165405343625878,0.05766042281574627,0.3019050067411296,0.06658239563663788,0.2649869241636978,0.1254245054988134,0.1984051346717823,0.10140009379734595,0.06013473711298218
