x,y
0.0,4165
531.5666666666667,2837
1063.1333333333334,2432
1594.7000000000003,2741
2126.266666666667,0
2657.8333333333335,0
3189.4000000000005,0
3720.966666666667,0
4252.533333333334,0
4784.1,0
5315.666666666667,0
5847.233333333334,0
6378.800000000001,0
6910.366666666668,0
7441.933333333334,0
7973.500000000001,0
8505.066666666668,0
9036.633333333335,0
9568.2,0
10099.766666666668,0
10631.333333333334,0
11162.900000000001,0
11694.466666666667,0
12226.033333333335,0
12757.600000000002,0
13289.166666666668,0
13820.733333333335,0
14352.300000000001,0
14883.866666666669,0
15415.433333333334,1707
15947.0,0
