x,y
0,13430
18,282
36,84
54,31
72,18
90,15
108,5
126,5
144,0
162,3
180,0
198,3
216,2
234,0
252,1
270,2
288,0
306,0
324,0
342,0
360,0
378,0
396,0
414,0
432,0
450,0
468,0
486,0
504,0
522,1
540,0
