x,y
-0.3,11876
14.458333333333332,1323
29.216666666666665,406
43.975,123
58.733333333333334,56
73.49166666666666,31
88.25,18
103.00833333333334,16
117.76666666666667,6
132.52499999999998,3
147.2833333333333,3
162.04166666666666,7
176.79999999999998,2
191.5583333333333,2
206.31666666666666,0
221.075,3
235.83333333333331,1
250.59166666666664,0
265.34999999999997,1
280.1083333333333,1
294.8666666666666,0
309.625,1
324.3833333333333,0
339.14166666666665,0
353.9,0
368.6583333333333,1
383.41666666666663,0
398.17499999999995,0
412.93333333333334,1
427.69166666666666,1
442.45,0
