x,y
0.0,13115
12.133333333333333,400
24.266666666666666,154
36.4,76
48.53333333333333,46
60.666666666666664,17
72.8,14
84.93333333333334,16
97.06666666666666,8
109.19999999999999,6
121.33333333333333,5
133.46666666666667,6
145.6,6
157.73333333333332,1
169.86666666666667,0
182.0,4
194.13333333333333,0
206.26666666666665,1
218.39999999999998,3
230.53333333333333,1
242.66666666666666,0
254.79999999999998,0
266.93333333333334,2
279.06666666666666,0
291.2,0
303.3333333333333,0
315.46666666666664,0
327.59999999999997,0
339.73333333333335,0
351.8666666666667,1
364.0,0
