x,y
0.0,8677
9.792666666666666,2824
19.58533333333333,1254
29.377999999999997,539
39.17066666666666,236
48.963333333333324,129
58.75599999999999,60
68.54866666666666,55
78.34133333333332,34
88.13399999999999,14
97.92666666666665,11
107.71933333333332,9
117.51199999999999,8
127.30466666666665,5
137.09733333333332,3
146.89,7
156.68266666666665,0
166.4753333333333,8
176.26799999999997,3
186.06066666666663,1
195.8533333333333,1
205.646,0
215.43866666666665,0
225.2313333333333,1
235.02399999999997,0
244.81666666666663,0
254.6093333333333,1
264.402,0
274.19466666666665,0
283.9873333333333,2
293.78,0
