x,y
0.0,13335
3.966666666666667,284
7.933333333333334,122
11.9,44
15.866666666666667,29
19.833333333333336,16
23.8,18
27.766666666666666,11
31.733333333333334,6
35.7,2
39.66666666666667,2
43.63333333333333,1
47.6,1
51.56666666666667,0
55.53333333333333,2
59.5,1
63.46666666666667,0
67.43333333333334,1
71.4,2
75.36666666666667,1
79.33333333333334,0
83.3,2
87.26666666666667,0
91.23333333333333,0
95.2,0
99.16666666666667,0
103.13333333333334,0
107.10000000000001,0
111.06666666666666,1
115.03333333333333,1
119.0,0
