x,y
0.0,12786
0.13333333333333333,564
0.26666666666666666,34
0.4,75
0.5333333333333333,147
0.6666666666666666,19
0.8,28
0.9333333333333333,131
1.0666666666666667,0
1.2,0
1.3333333333333333,0
1.4666666666666666,20
1.6,0
1.7333333333333334,0
1.8666666666666667,0
2.0,44
2.1333333333333333,0
2.2666666666666666,0
2.4,0
2.533333333333333,0
2.6666666666666665,0
2.8,0
2.933333333333333,10
3.0666666666666664,0
3.2,0
3.3333333333333335,0
3.466666666666667,0
3.6,0
3.7333333333333334,0
3.8666666666666667,24
4.0,0
