x,y
0.0,9493
0.8276666666666667,2029
1.6553333333333333,982
2.483,501
3.3106666666666666,312
4.138333333333334,142
4.966,94
5.793666666666667,120
6.621333333333333,40
7.449,50
8.276666666666667,24
9.104333333333333,18
9.932,19
10.759666666666666,6
11.587333333333333,12
12.415,6
13.242666666666667,6
14.070333333333334,6
14.898,4
15.725666666666667,1
16.553333333333335,1
17.381,1
18.208666666666666,3
19.03633333333333,3
19.864,2
20.691666666666666,1
21.519333333333332,2
22.347,1
23.174666666666667,1
24.002333333333333,2
24.83,0
