x,y
0.0,13414
13.366666666666667,238
26.733333333333334,110
40.1,42
53.46666666666667,21
66.83333333333334,16
80.2,10
93.56666666666666,7
106.93333333333334,8
120.30000000000001,1
133.66666666666669,1
147.03333333333333,3
160.4,0
173.76666666666668,4
187.13333333333333,1
200.5,0
213.86666666666667,1
227.23333333333335,1
240.60000000000002,0
253.96666666666667,0
267.33333333333337,1
280.7,0
294.06666666666666,2
307.43333333333334,0
320.8,0
334.1666666666667,0
347.53333333333336,0
360.90000000000003,0
374.26666666666665,0
387.6333333333333,1
401.0,0
