x,y
0.0,11565
16.866666666666667,1781
33.733333333333334,322
50.6,103
67.46666666666667,53
84.33333333333334,17
101.2,13
118.06666666666666,9
134.93333333333334,2
151.8,3
168.66666666666669,1
185.53333333333333,2
202.4,1
219.26666666666668,0
236.13333333333333,1
253.0,0
269.8666666666667,3
286.73333333333335,1
303.6,1
320.4666666666667,0
337.33333333333337,1
354.2,0
371.06666666666666,0
387.93333333333334,0
404.8,0
421.6666666666667,0
438.53333333333336,1
455.40000000000003,0
472.26666666666665,0
489.1333333333333,2
506.0,0
