x,y
0.0,13772
378.46666666666664,51
756.9333333333333,20
1135.3999999999999,6
1513.8666666666666,11
1892.3333333333333,5
2270.7999999999997,4
2649.2666666666664,4
3027.733333333333,1
3406.2,0
3784.6666666666665,2
4163.133333333333,1
4541.599999999999,1
4920.066666666667,1
5298.533333333333,0
5677.0,0
6055.466666666666,0
6433.9333333333325,0
6812.4,0
7190.866666666666,0
7569.333333333333,0
7947.799999999999,1
8326.266666666666,0
8704.733333333334,1
9083.199999999999,0
9461.666666666666,0
9840.133333333333,0
10218.599999999999,0
10597.066666666666,0
10975.533333333333,1
11354.0,0
