x,y
0.0,13560
14.074666666666667,239
28.149333333333335,43
42.224000000000004,16
56.29866666666667,9
70.37333333333333,4
84.44800000000001,2
98.52266666666667,3
112.59733333333334,1
126.67200000000001,0
140.74666666666667,1
154.82133333333334,1
168.89600000000002,0
182.9706666666667,0
197.04533333333333,0
211.12,1
225.19466666666668,1
239.26933333333335,0
253.34400000000002,0
267.4186666666667,0
281.49333333333334,0
295.56800000000004,0
309.6426666666667,0
323.71733333333333,0
337.79200000000003,0
351.8666666666667,0
365.9413333333334,0
380.016,0
394.09066666666666,0
408.16533333333336,1
422.24,0
