x,y
0.0,6539
2.0,2076
4.0,1315
6.0,980
8.0,728
10.0,542
12.0,364
14.0,291
16.0,201
18.0,171
20.0,151
22.0,108
24.0,86
26.0,64
28.0,37
30.0,33
32.0,27
34.0,24
36.0,20
38.0,23
40.0,17
42.0,10
44.0,10
46.0,9
48.0,10
50.0,7
52.0,5
54.0,2
56.0,5
58.0,27
60.0,0
