x,y
-7.9,13714
4.078333333333331,108
16.056666666666665,30
28.034999999999997,11
40.01333333333333,7
51.99166666666666,1
63.96999999999999,3
75.94833333333332,3
87.92666666666665,0
99.90499999999997,1
111.88333333333331,0
123.86166666666665,0
135.83999999999997,1
147.8183333333333,1
159.79666666666665,0
171.77499999999998,1
183.7533333333333,0
195.73166666666663,0
207.70999999999995,0
219.6883333333333,0
231.66666666666663,0
243.64499999999995,0
255.6233333333333,0
267.60166666666663,0
279.58,0
291.55833333333334,0
303.53666666666663,0
315.515,0
327.49333333333334,0
339.47166666666664,1
351.45,0
